Address,Price
"13/7, Bruntsfield Avenue, Edinburgh, EH10 4EL","£413,000  on 23 August 2024"
"60 Colinton Road, Edinburgh, EH14 1AH","£540,000  on 23 August 2024"
"251, Dalkeith Road, Edinburgh, EH16 5JS","£368,600  on 23 August 2024"
"45/4 Findlay Avenue, Edinburgh, EH7 6EY","£163,000  on 23 August 2024"
"1/3 Corstorphine High Street, Edinburgh, EH12 7SU","£147,500  on 23 August 2024"
"29 Lauriston Street, Edinburgh, EH3 9DQ","£185,000  on 23 August 2024"
"105 East Claremont Street, Edinburgh, EH7 4JA","£455,000  on 23 August 2024"
"7/1 Northfield Drive, Edinburgh, EH8 7RR","£150,100  on 23 August 2024"
"6 Kirkhill Drive, Edinburgh, EH16 5DW","£412,000  on 23 August 2024,£402,000  on 1 December 2023"
"16 Broughton Road, Edinburgh, EH7 4EB","£275,000  on 23 August 2024"
"12 Cammo Hill, Edinburgh, EH4 8EY","£510,000  on 23 August 2024"
"10 East Craigs Rigg, Edinburgh, EH12 8JA","£628,450  on 23 August 2024"
"28, Nile Grove, Edinburgh, EH10 4RF","£380,000  on 23 August 2024"
"221/28, Portobello High Street, Edinburgh, EH15 2AN","£170,000  on 23 August 2024"
"28, Nile Grove, Edinburgh, EH10 4RF","£380,000  on 23 August 2024"
"31 Clerwood Park, Edinburgh, EH12 8PW","£320,000  on 23 August 2024"
"27 Springwell Place, Edinburgh, EH11 2HX","£165,000  on 23 August 2024"
"13/3, Strathfillan Road, Edinburgh, EH9 2AG","£385,000  on 23 August 2024"
"83/6, Iona Street, Edinburgh, EH6 8RP","£160,000  on 23 August 2024"
"Flat 6, 14 Lochend Road, Edinburgh, EH6 8BR","£230,000  on 23 August 2024"
"Flat 10, 9 Flaxmill Place, Edinburgh, EH6 5QW","£237,500  on 23 August 2024"
"11/2 Fountain Close, 22 High Street, Edinburgh, EH1 1TF","£570,000  on 23 August 2024"
"34 Ogilvie Terrace, Edinburgh, EH11 1NP","£475,000  on 23 August 2024"
"Flat 32, 1 Heron Place, Edinburgh, EH5 1GG","£291,000  on 23 August 2024"
"22 North Gyle Drive, Edinburgh, EH12 8JN","£430,000  on 23 August 2024"
"8 Rosebank Gardens, Edinburgh, EH5 3QR","£480,000  on 23 August 2024,£495,000  on 14 July 2023"
"2/4 Northfield Heights, Edinburgh, EH8 7QJ","£251,240  on 23 August 2024"
"223 Gorgie Road, Edinburgh, EH11 1TU","£232,500  on 23 August 2024,£167,000  on 26 February 2020"
"15/13, Stewart Terrace, Edinburgh, EH11 1UR","£150,000  on 23 August 2024"
"1 Graham Street, Edinburgh, EH6 5QN","£195,000  on 23 August 2024"
"2/3, Thistle Place, Edinburgh, EH11 1JH","£265,523  on 23 August 2024,£252,520  on 26 March 2021"
"45/7 Orchard Brae Avenue, Edinburgh, EH4 2UP","£290,000  on 23 August 2024"
"Flat 22, 43 Shrubhill Walk, Edinburgh, EH7 4FN","£385,000  on 23 August 2024"
"98 The Murrays, Edinburgh, EH17 8UP","£260,000  on 23 August 2024"
"78/2, Barnton Park View, Edinburgh, EH4 6HJ","£400,000  on 23 August 2024"
"15 Orchard Bank, Edinburgh, EH4 2DS","£572,000  on 23 August 2024"
"3/5, Duff Road, Edinburgh, EH11 2TH","£250,000  on 23 August 2024"
"28A, Nile Grove, Edinburgh, EH10 4RF","£750,000  on 23 August 2024"
"3 Alva Place, Edinburgh, EH7 5AZ","£237,000  on 23 August 2024"
"Gf1, 11 Albert Terrace, Edinburgh, EH10 5EA","£745,000  on 23 August 2024"
"93 Wester Drylaw Avenue, Edinburgh, EH4 2SU","£185,000  on 23 August 2024"
"63 Stoneybank Gardens, Musselburgh, EH21 6TG","£161,200  on 23 August 2024,£125,000  on 13 November 2020"
"10/6, Craighall Crescent, Edinburgh, EH6 4RY","£370,000  on 23 August 2024,£262,500  on 12 May 2023"
"Flat 1, 4 East Pilton Farm Place, Edinburgh, EH5 2QN","£221,000  on 23 August 2024"
"1/7 Milton Street, Edinburgh, EH8 8EZ","£165,000  on 23 August 2024"
"58, Great Junction Street, Edinburgh, EH6 5LD","£218,300  on 23 August 2024"
"9/3, Wardlaw Street, Edinburgh, EH11 1TL","£145,000  on 23 August 2024,£133,518  on 20 December 2019"
"33/6 Craigentinny Road, Edinburgh, EH7 6NB","£154,000  on 23 August 2024,£125,000  on 6 December 2019"
"19 Goldenacre Terrace, Edinburgh, EH3 5QP","£355,000  on 23 August 2024"
"7 Oxgangs House, Oxgangs Grove, Edinburgh, EH13 9HE","£145,000  on 23 August 2024"
"31 Newtoft Street, Edinburgh, EH17 8RF","£148,000  on 23 August 2024"
"51 Gilmerton Dykes Avenue, Edinburgh, EH17 8ND","£155,000  on 23 August 2024"
"1F3, 101 Grove Street, Edinburgh, EH3 8AB","£185,000  on 23 August 2024,£182,000  on 29 October 2021"
"8/21 Lasswade Road, Edinburgh, EH16 6RZ","£142,500  on 23 August 2024,£140,000  on 25 June 2021"
"34 Learmonth Avenue, Edinburgh, EH4 1DB","£462,000  on 22 August 2024,£400,000  on 18 June 2020"
"14 Clarkson Road, Gilmerton, Edinburgh, EH17 8ZD","£312,995  on 22 August 2024"
"11 Stewart Terrace, Edinburgh, EH11 1UR","£155,000  on 22 August 2024"
"217 Gilmerton Road, Edinburgh, EH16 5UD","£301,800  on 22 August 2024"
"2/4 St. Clair Place, Edinburgh, EH6 8JZ","£175,000  on 22 August 2024"
"Flat 3, 3/1 The Cedars, Colinton Road, Edinburgh, EH13 0PL","£963,323  on 22 August 2024"
"Flat 14, 12 Margaret Thomson Crescent, South Leith, Edinburgh, EH6 7FD","£378,995  on 22 August 2024"
"10 O'donnel Road, Edinburgh, EH17 8ZN","£329,995  on 22 August 2024"
"Flat 6, 17 Carswell Walk, South Queensferry, EH30 9DJ","£220,000  on 22 August 2024"
"Flat 34, 11 Slateford Gait, Edinburgh, EH11 1GW","£262,000  on 22 August 2024"
"24 Learmonth Terrace, Edinburgh, EH4 1PG","£594,000  on 22 August 2024"
"140 Craigleith Road, Edinburgh, EH4 2EQ","£840,000  on 22 August 2024"
"Flat 3, 21 Geissler Drive, Edinburgh, EH6 6AN","£295,000  on 22 August 2024"
"1/1, Belhaven Terrace, Edinburgh, EH10 5HZ","£260,000  on 22 August 2024"
"51 Caiyside, Edinburgh, EH10 7HW","£615,000  on 22 August 2024"
"27 Greenbank Crescent, Edinburgh, EH10 5TE","£970,089  on 22 August 2024"
"23 Brandon Terrace, Edinburgh, EH3 5DZ","£238,500  on 22 August 2024"
"3 Torwood Crescent, Edinburgh, EH12 9GL","£253,000  on 22 August 2024,£237,000  on 12 November 2021"
"34/3, Strathearn Road, Edinburgh, EH9 2AB","£460,000  on 22 August 2024"
"58 Broomhall Drive, Edinburgh, EH12 7QP","£321,123  on 22 August 2024"
"20 Goff Avenue, Edinburgh, EH7 6TS","£480,000  on 22 August 2024,£435,000  on 5 March 2021"
"Flat 3F3, 46 Moat Street, Edinburgh, EH14 1PH","£162,000  on 22 August 2024"
"11 South Gray Street, Edinburgh, EH9 1TE","£950,000  on 21 August 2024"
"53 Allan Park, Kirkliston, West Lothian, EH29 9BP","£260,000  on 21 August 2024"
"44 Spylaw Street, Edinburgh, EH13 0JT","£212,813  on 21 August 2024"
"2/4 West Pilton Green, Edinburgh, EH4 4ER","£121,000  on 21 August 2024"
"1 Leamington Terrace, Edinburgh, EH10 4JW","£502,250  on 21 August 2024"
"14 Drum Crescent, Edinburgh, EH17 7DZ","£180,000  on 21 August 2024"
"3/4, Summerhall Square, Edinburgh, EH9 1QD","£373,000  on 21 August 2024"
"1 Portgower Place, Edinburgh, EH4 1HQ","£783,150  on 21 August 2024"
"3a Buckingham Terrace, Edinburgh, EH4 3AB","£732,500  on 21 August 2024"
"Flat 12, 15 West Tollcross, Edinburgh, EH3 9QN","£366,800  on 21 August 2024"
"161/2 Easter Road, Edinburgh, EH7 5QB","£261,100  on 21 August 2024"
"75 Colinton Road, Edinburgh, EH10 5DF","£1,605,750  on 21 August 2024"
"15/5, East London Street, Edinburgh, EH7 4BN","£454,000  on 21 August 2024"
"43 Templar Crescent, Kirkliston, EH29 9GJ","£425,000  on 21 August 2024"
"1 Spylaw Street, Edinburgh, EH13 0JS","£130,000  on 21 August 2024"
"2 Buckstone Way, Edinburgh, EH10 6PN","£410,000  on 20 August 2024"
"62 Thistle Street, Edinburgh, EH2 1EN","£280,000  on 20 August 2024"
"96 Stenhouse Crescent, Edinburgh, EH11 3HU","£205,000  on 20 August 2024"
"183/5, Great Junction Street, Edinburgh, EH6 5LQ","£162,500  on 20 August 2024"
"13 Moredun Park View, Edinburgh, EH17 7LR","£140,000  on 20 August 2024"
"15 Bullfinch Way, Edinburgh, EH17 8XF","£330,000  on 20 August 2024"
"24 Hosie Rigg, Edinburgh, EH15 3RX","£185,000  on 20 August 2024"
"40 Craigmount View, Edinburgh, EH12 8BT","£475,000  on 20 August 2024"
"8 Ravelston Heights, Edinburgh, EH4 3LX","£111,667  on 20 August 2024"
"93 Craighall Drive, Musselburgh, EH21 8FL","£225,000  on 20 August 2024,£208,995  on 28 April 2022"
"7 Lochiel Gardens, Edinburgh, EH17 8WB","£285,000  on 20 August 2024,£289,995  on 22 April 2022"
"1F, 7 St Bernard's Row, Edinburgh, EH4 1HW","£590,000  on 19 August 2024"
"8 Mortonhall Park Terrace, Edinburgh, EH17 8SU","£240,000  on 19 August 2024"
"Flat 5, 43 Shrubhill Walk, Edinburgh, EH7 4FN","£385,000  on 19 August 2024"
"105 Harrison Road, Edinburgh, EH11 1LT","£435,000  on 19 August 2024"
"Flat 17, 24 Slateford Gait, Edinburgh, EH11 1GU","£300,000  on 19 August 2024"
"19 Falcon Avenue, Edinburgh, EH10 4AL","£460,000  on 19 August 2024"
"32/3, Gosford Place, Edinburgh, EH6 4BH","£310,000  on 19 August 2024,£290,000  on 28 January 2022"
"11 South Lauder Road, Edinburgh, EH9 2NB","£715,000  on 19 August 2024"
"7 Watson Crescent, Edinburgh, EH11 1HD","£172,500  on 19 August 2024"
"35/2 Rattray Grove, Edinburgh, EH10 5TL","£290,000  on 19 August 2024"
"Flat 2, 1 Smiddy Wynd, Edinburgh, EH16 6GU","£395,195  on 16 August 2024"
"57 Pikes Pool Drive, Kirkliston, EH29 9GH","£397,500  on 16 August 2024"
"4 Argyle Park Terrace, Edinburgh, EH9 1JY","£350,000  on 16 August 2024"
"2 Springvalley Gardens, Edinburgh, EH10 4QG","£200,000  on 16 August 2024"
"107 Lochend Road, Edinburgh, EH6 8BX","£275,500  on 16 August 2024"
"1/5, Clearburn Gardens, Edinburgh, EH16 5ET","£145,000  on 16 August 2024"
"7/16, Viewcraig Gardens, Edinburgh, EH8 9UL","£230,000  on 16 August 2024"
"17 Temple Park Crescent, Edinburgh, EH11 1JF","£331,400  on 16 August 2024"
"104/8, Wester Drylaw Avenue, Edinburgh, EH4 2SX","£155,311  on 16 August 2024"
"1/5, Allanfield, Edinburgh, EH7 5YG","£168,501  on 16 August 2024"
"Gf2, 11 Downfield Place, Edinburgh, EH11 2EJ","£145,000  on 16 August 2024"
"4/1, Hillcoat Loan, Edinburgh, EH15 1UA","£200,000  on 16 August 2024"
"2F2, 16 Glengyle Terrace, Edinburgh, EH3 9LN","£650,000  on 16 August 2024"
"28 Mucklets Crescent, Musselburgh, EH21 6SS","£250,000  on 16 August 2024"
"14 Maitland Road, Kirkliston, EH29 9AR","£265,460  on 16 August 2024"
"Flat 2, 5 Kinauld Dell, Currie, EH14 5RG","£385,583  on 16 August 2024,£295,000  on 8 June 2021"
"60 Montgomery Street, Edinburgh, EH7 5JA","£418,250  on 16 August 2024,£308,750  on 12 February 2021"
"Flat 2, 1 Smiddy Wynd, Edinburgh, EH16 6GU","£395,195  on 16 August 2024"
"42 Carrick Knowe Hill, Edinburgh, EH12 7BU","£185,000  on 16 August 2024"
"2F1, 13 Fowler Terrace, Edinburgh, EH11 1DD","£195,444  on 16 August 2024,£186,500  on 21 June 2022"
"6 Glenorchy Terrace, Edinburgh, EH9 2DQ","£650,000  on 16 August 2024"
"5/2, Huntingdon Place, Edinburgh, EH7 4AT","£356,000  on 16 August 2024"
"7 Riding Park, Edinburgh, EH4 6ED","£910,000  on 16 August 2024"
"59 Hyvot Loan, Edinburgh, EH17 8NP","£170,000  on 16 August 2024"
"6/29 Pilrig Heights, Edinburgh, EH6 5BF","£270,000  on 16 August 2024"
"10/11 Blair Street, Edinburgh, EH1 1QR","£290,000  on 16 August 2024"
"101 Craigleith Road, Edinburgh, EH4 2EH","£1,150,000  on 16 August 2024"
"490/7 Gilmerton Road, Edinburgh, EH17 7SA","£199,495  on 16 August 2024,£178,000  on 28 October 2022"
"47/11 West Ferryfield, Edinburgh, EH5 2PT","£225,000  on 16 August 2024,£207,695  on 14 May 2021"
"6/13, Orwell Terrace, Edinburgh, EH11 2DZ","£233,500  on 16 August 2024,£188,000  on 12 March 2021"
"4 Northfield Drive, Edinburgh, EH8 7RW","£207,500  on 16 August 2024"
"29 Falcon Court, Edinburgh, EH10 4AE","£305,000  on 16 August 2024"
"8/4, Sandport Way, Edinburgh, EH6 6EA","£300,000  on 16 August 2024"
"30/6 North Meggetland, Edinburgh, EH14 1XG","£247,500  on 16 August 2024,£255,000  on 25 July 2024,£250,000  on 12 November 2019"
"25 Clark Avenue, Edinburgh, EH5 3AY","£494,213  on 16 August 2024"
"2F3, 128 Brunton Gardens, Montgomery Street, Edinburgh, EH7 5ET","£360,000  on 16 August 2024"
"267/4, Easter Road, Edinburgh, EH6 8LQ","£170,000  on 16 August 2024"
"63B, Ravenscroft Street, Edinburgh, EH17 8QJ","£152,000  on 16 August 2024"
"10 East Brighton Crescent, Edinburgh, EH15 1LR","£750,000  on 16 August 2024"
"Flat 1, 4 Tait Wynd, Edinburgh, EH15 2RH","£170,000  on 16 August 2024,£70,000  on 10 November 2023"
"Flat 10, 7 Goldcrest Place, Edinburgh, EH4 8GQ","£326,000  on 16 August 2024,£333,995  on 29 September 2022"
"208 Bonnington Road, Edinburgh, EH6 5BH","£136,000  on 16 August 2024"
"15/5, Craigentinny Road, Edinburgh, EH7 6LZ","£150,200  on 16 August 2024"
"31B, Minto Street, Edinburgh, EH9 2BT","£80,000  on 16 August 2024"
"19 Auchingane, Edinburgh, EH10 7HU","£415,000  on 16 August 2024"
"22 Pentland View, Edinburgh, EH10 6PS","£511,089  on 16 August 2024"
"39/9, Caledonian Crescent, Edinburgh, EH11 2AQ","£210,000  on 16 August 2024"
"59 Duddingston Crescent, Edinburgh, EH15 2QT","£500,000  on 16 August 2024"
"37 Meadowfield Road North, Edinburgh, EH12 0DQ","£349,000  on 16 August 2024"
"33 Sighthill Terrace, Edinburgh, EH11 4QH","£235,000  on 16 August 2024"
"38 Friars Croft Road, South Queensferry, EH30 9DZ","£750,000  on 16 August 2024"
"2 Sandilands View, Edinburgh, EH16 4DF","£305,000  on 16 August 2024,£305,000  on 27 January 2023"
"2F3, 128 Brunton Gardens, Montgomery Street, Edinburgh, EH7 5ET","£360,000  on 16 August 2024"
"7 Grange Loan Gardens, Edinburgh, EH9 2EB","£676,287  on 16 August 2024"
"15 Sandport, Edinburgh, EH6 6PL","£260,000  on 16 August 2024"
"8/6 Caledonian Crescent, Edinburgh, EH11 2DE","£155,500  on 16 August 2024"
"62 Balcarres Street, Edinburgh, EH10 5LT","£220,093  on 16 August 2024"
"12/12 Sloan Street, Edinburgh, EH6 8PJ","£179,000  on 16 August 2024"
"99 Double Hedges Park, Edinburgh, EH16 6YW","£250,000  on 16 August 2024"
"246/6 Craigcrook Road, Edinburgh, EH4 7TF","£280,000  on 16 August 2024,£280,000  on 7 May 2021"
"4/9 Morrison Circus, Edinburgh, EH3 8DW","£275,000  on 16 August 2024"
"40 Suffolk Road Lane, Edinburgh, EH16 5NZ","£705,888  on 16 August 2024"
"58 Colinton Road, Edinburgh, EH14 1AH","£515,000  on 16 August 2024,£38,000  on 17 May 2024,£475,000  on 16 August 2021"
"20 Gray's Loan, Edinburgh, EH10 5BS","£422,500  on 16 August 2024"
"Flat 8, 10 Tinto Place, Edinburgh, EH6 5FL","£265,100  on 16 August 2024"
"9/16 Harrismith Place, Edinburgh, EH7 5PA","£212,000  on 16 August 2024"
"37/8, Pilrig Heights, Edinburgh, EH6 5FB","£232,300  on 16 August 2024"
"18 Moredunvale View, Edinburgh, EH17 7JT","£212,000  on 16 August 2024"
"7/3 Tower Place, Edinburgh, EH6 7BZ","£293,000  on 16 August 2024,£235,000  on 30 October 2020"
"65/4 Great Junction Street, Edinburgh, EH6 5HX","£260,000  on 16 August 2024"
"62 Ravenswood Avenue, Edinburgh, EH16 5SF","£248,333  on 16 August 2024"
"13/3, Ferry Road Drive, Edinburgh, EH4 4BS","£140,500  on 16 August 2024"
"2 Hermitage Park South, Edinburgh, EH6 8EZ","£345,000  on 16 August 2024"
"10/4, Rocheid Park, Edinburgh, EH4 1RU","£382,500  on 16 August 2024"
"2/8, Easter Dalry Wynd, Edinburgh, EH11 2TW","£238,000  on 16 August 2024"
"3F2, 24 Springwell Place, Edinburgh, EH11 2HY","£165,000  on 16 August 2024,£95,000  on 28 March 2024"
"7/2, Claremont Crescent, Edinburgh, EH7 4HX","£555,000  on 16 August 2024"
"52 Niddrie Marischal Green, Edinburgh, EH16 4EW","£183,000  on 16 August 2024"
"7/10, Lindsay Road, Edinburgh, EH6 4DT","£148,000  on 16 August 2024"
"19 Comiston View, Edinburgh, EH10 6LP","£462,000  on 16 August 2024"
"180/9, Woodhall Road, Edinburgh, EH13 0PJ","£380,000  on 16 August 2024"
"31 Strathalmond Road, Edinburgh, EH4 8HP","£330,000  on 16 August 2024"
"37/2, East Crosscauseway, Edinburgh, EH8 9HE","£205,000  on 16 August 2024"
"279 Colinton Mains Drive, Edinburgh, EH13 9AY","£180,250  on 16 August 2024"
"Flat 11, 7 Gorgie Road, Edinburgh, EH11 2FL","£455,000  on 16 August 2024,£429,000  on 19 November 2021"
"2 Keith Crescent, Edinburgh, EH4 3NH","£650,000  on 16 August 2024,£607,500  on 30 March 2021"
"10 Pillans Walk, Edinburgh, EH6 7DY","£362,000  on 16 August 2024,£295,000  on 2 July 2021"
"4/13, Wheatfield Road, Edinburgh, EH11 2PS","£173,000  on 16 August 2024"
"6/10, Kings Road, Edinburgh, EH15 1EA","£225,000  on 16 August 2024"
"6 Mountcastle Drive North, Edinburgh, EH8 7SJ","£310,000  on 16 August 2024"
"16 Myrtle Terrace, Edinburgh, EH11 1PF","£275,000  on 16 August 2024"
"32 Dudley Gardens, Edinburgh, EH6 4PT","£865,000  on 16 August 2024"
"142 Gyle Park Gardens, Edinburgh, EH12 8NU","£510,000  on 16 August 2024"
"Flat 21, 34 Simpson Loan, Edinburgh, EH3 9GF","£355,000  on 16 August 2024"
"36/6 Lower London Road, Edinburgh, EH7 5TE","£250,000  on 16 August 2024"
"99b Drum Street, Edinburgh, EH17 8RH","£207,500  on 16 August 2024"
"73 Falcon Road, Edinburgh, EH10 4AS","£543,000  on 16 August 2024"
"29 Craiglockhart Terrace, Edinburgh, EH14 1AJ","£380,000  on 16 August 2024"
"Flat 4, 102 Whitehouse Loan, Edinburgh, EH9 1AX","£350,000  on 16 August 2024"
"15 Primrose Terrace, Edinburgh, EH11 1PD","£443,535  on 16 August 2024"
"79 Lochend Road, Edinburgh, EH6 8BY","£238,000  on 16 August 2024"
"11/13 East Pilton Farm Rigg, Edinburgh, EH5 2GE","£250,000  on 16 August 2024,£220,000  on 27 November 2020"
"19 Findhorn Place, Edinburgh, EH9 2JR","£1,200,000  on 16 August 2024"
"23/11 Maxwell Street, Edinburgh, EH10 5HT","£310,000  on 16 August 2024"
"22/7 Wardlaw Place, Edinburgh, EH11 1UF","£150,000  on 16 August 2024,£150,000  on 18 August 2023,£130,000  on 18 December 2020"
"63 Lochend Road, Edinburgh, EH6 8DQ","£220,000  on 16 August 2024"
"2/11 East Pilton Farm Avenue, Edinburgh, EH5 2GA","£235,000  on 16 August 2024,£220,000  on 20 March 2020"
"101 South Scotstoun, South Queensferry, West Lothian, EH30 9YE","£152,500  on 16 August 2024"
"4/8 Dalry Gait, Edinburgh, EH11 2AU","£320,000  on 16 August 2024"
"20/11 Duff Street, Edinburgh, EH11 2HG","£232,500  on 16 August 2024"
"15/2, Glencairn Crescent, Edinburgh, EH12 5BT","£560,000  on 16 August 2024"
"22/6 Warriston Drive, Edinburgh, EH3 5LY","£295,000  on 16 August 2024,£295,000  on 3 October 2023"
"8A, West Mill Road, Edinburgh, EH13 0NX","£360,000  on 16 August 2024,£350,000  on 23 October 2023"
"10/4, Bothwell Street, Edinburgh, EH7 5PS","£164,000  on 16 August 2024"
"6b Moray Place, Edinburgh, EH3 6DS","£900,000  on 16 August 2024"
"105 Carrick Knowe Drive, Edinburgh, EH12 7EG","£192,000  on 16 August 2024"
"220 Bruntsfield Place, Edinburgh, EH10 4DE","£330,000  on 16 August 2024"
"Flat 2, 60 Belford Road, Edinburgh, EH4 3DF","£800,000  on 15 August 2024"
"4 The Murrays, Edinburgh, EH17 8UE","£315,000  on 15 August 2024"
"12 Craighall Gardens, Musselburgh, EH21 8FT","£263,995  on 15 August 2024"
"1/2, Lochend Square, Edinburgh, EH7 6ED","£160,000  on 15 August 2024"
"75/4, Buccleuch Street, Edinburgh, EH8 9LS","£345,100  on 15 August 2024"
"48 Hillview Road, Edinburgh, EH12 8QQ","£595,000  on 15 August 2024"
"34 Leadervale Road, Edinburgh, EH16 6PA","£465,000  on 15 August 2024"
"Flat 11, 2 Firecrest Way, Edinburgh, EH4 8GP","£289,995  on 15 August 2024"
"6 Martin Street, Edinburgh, EH17 8GB","£350,000  on 15 August 2024"
"11/3 Murrayfield Road, Edinburgh, EH12 6EW","£411,513  on 15 August 2024"
"Flat 6, 11 Meggetland Square, Edinburgh, EH14 1XR","£390,000  on 15 August 2024"
"48 Turnhouse Road, Edinburgh, EH12 8ND","£540,000  on 15 August 2024"
"9/12 Springfield Street, Edinburgh, EH6 5EF","£245,000  on 15 August 2024"
"8/6, Oxgangs Farm Gardens, Edinburgh, EH13 9QE","£162,500  on 15 August 2024"
"15 Restalrig Terrace, Edinburgh, EH6 8EA","£702,414  on 15 August 2024"
"5/1, Tower Street, Edinburgh, EH6 7BX","£260,000  on 15 August 2024"
"2 O'donnel Street, Gilmerton, Edinburgh, EH17 8ZP","£349,995  on 15 August 2024"
"Flat 6, 60 Belford Road, Edinburgh, EH4 3DF","£895,000  on 15 August 2024"
"72 Currievale Drive, Currie, EH14 5RW","£297,250  on 15 August 2024"
"Flat 9, 5 Byrne Crescent, Balerno, EH14 5FF","£290,000  on 15 August 2024,£265,000  on 16 December 2020"
"32 Broomhouse Crescent, Edinburgh, EH11 3SZ","£305,000  on 15 August 2024"
"257/5, Newhaven Road, Edinburgh, EH6 4LQ","£156,550  on 15 August 2024"
"Flat 9, 21 Geissler Drive, Edinburgh, EH6 6AN","£299,995  on 15 August 2024"
"1/2 Tinto Place, Edinburgh, EH6 5BG","£232,000  on 15 August 2024"
"13/1, Spottiswoode Street, Edinburgh, EH9 1EP","£458,000  on 15 August 2024"
"12/1 Calder Drive, Edinburgh, EH11 4LU","£100,000  on 15 August 2024"
"4 Beresford Avenue, Edinburgh, EH5 3ET","£900,000  on 14 August 2024"
"353/5, Easter Road, Edinburgh, EH6 8JF","£210,000  on 14 August 2024"
"173 Gilmerton Dykes Drive, Edinburgh, EH17 8LP","£158,000  on 14 August 2024"
"12 Fernieside Place, Edinburgh, EH17 7LF","£287,000  on 14 August 2024,£258,000  on 14 January 2021"
"6 Lennox Row, Edinburgh, EH5 3HN","£1,402,108  on 14 August 2024"
"36/3 Restalrig Drive, Edinburgh, EH7 6JF","£167,500  on 14 August 2024"
"26 Swanston Grove, Edinburgh, EH10 7BW","£400,000  on 14 August 2024"
"2/2, Succoth Court, Edinburgh, EH12 6BZ","£420,000  on 14 August 2024"
"69 Broomhall Road, Edinburgh, EH12 7PP","£345,050  on 14 August 2024"
"76 Hamilton Place, Edinburgh, EH3 5AZ","£582,000  on 14 August 2024"
"5/1, Randolph Cliff, Edinburgh, EH3 7TZ","£820,000  on 14 August 2024"
